timestamp,artist,title
2026-09-04T13:53:04,,MARK BROOM - Biro
2026-09-04T13:53:57,Moritz Piske,Slipless In Seattle (Matt Star Remix)
2026-09-04T13:59:43,JPLS,Green01 (Skoozpots Twilite Remix)
2026-09-04T14:06:35,Paco Osuna,Transheet
2026-09-04T14:11:37,Marco Carola,Apnea
2026-09-04T14:19:33,Mikael Stavostrand,Moment And Movement
2026-09-04T14:23:48,Nhar,Don't Forget To Lick
2026-09-04T14:29:26,Uto Karem,Homebase (Original Mix)
2026-09-04T14:34:48,Funkagenda,What the Fuck (Original Club Mix)
2026-09-04T14:38:54,Hobo,Failsafe
2026-09-04T14:45:07,Marc Houle,Techno Vocals - Original Mix
2026-09-04T14:51:22,Winx,Don't Laugh [Richie Santana Remix]
2026-09-04T14:55:44,Par Grindvik,Continue Me
2026-09-04T15:03:44,Heartthrob,Baby Kate (Adam Beyer and Jesper Dahlback remix)
2026-09-04T15:08:26,Tadeo,Granate Granada
2026-09-04T15:17:38,,My Mix - 13h53m08s to 15h17m19s
